image_name,1_x,1_y,2_x,2_y,3_x,3_y
0,65,84,12,182,103,125
1,64,71,53,113,48,182
3,111,95,70,209,82,191
4,64,105,39,181,115,117
5,97,144,7,145,98,186
6,43,111,90,190,97,186
7,56,236,131,66,61,99
8,101,96,144,69,21,146
9,153,40,122,103,9,169
10,54,204,127,217,122,102
11,37,207,92,125,63,189
12,95,132,35,208,62,130
13,94,191,18,119,117,163
14,66,157,18,107,50,220
16,24,141,127,45,117,194
17,13,218,76,58,103,41
18,140,141,63,53,70,221
19,18,72,119,217,49,156
20,96,77,156,160,94,105
21,33,64,41,74,99,135
22,56,241,54,160,60,97
23,23,245,155,114,43,120
